player_id,player_name,firstname,lastname,number,position,age,birth_date,birth_place,birth_country,nationality,height,weight,injured,rating,team_id,team_name,league,season,captain,shots.total,shots.on,goals.total,goals.conceded,goals.assists,passes.total,passes.key,passes.accuracy,tackles.total,tackles.blocks,tackles.interceptions,duels.total,duels.won,dribbles.attempts,dribbles.success,fouls.drawn,fouls.committed,cards.yellow,cards.yellowred,cards.red,penalty.won,penalty.commited,penalty.success,penalty.missed,penalty.saved,games.appearences,games.minutes_played,games.lineups,substitutes.in,substitutes.out,substitutes.bench
104404,Luisão,Ânderson Luís,da Silva,,Defender,37,13/02/1981,Amparo,Brazil,Brazil,194 cm,85 kg,,,211,Benfica,Primeira Liga,2018-2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104405,Eliseu Pereira dos Varela,Eliseu,Pereira dos Santos,,Defender,35,01/10/1983,Angra do Heroísmo,Portugal,Portugal,176 cm,75 kg,,,211,Benfica,Primeira Liga,2018-2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
580,Jonas Gonçalves Oliveira,Jonas,Gonçalves Oliveira,,Attacker,35,01/04/1984,Bebedouro,Brazil,Brazil,181 cm,75 kg,,7.14,211,Benfica,Primeira Liga,2018-2019,0,53,26,11,0,0,265,15,79,6,1,1,116,52,14,10,19,18,5,0,1,1,0,1,0,0,22,1019,10,12,5,15
2562,Nicolás Ignacio Castillo,Nicolás Ignacio,Castillo Mora,,Attacker,27,14/02/1993,Santiago de Chile,Chile,Chile,177 cm,78 kg,,6.6,211,Benfica,Primeira Liga,2018-2019,0,6,2,0,0,0,19,2,43,1,0,0,21,7,1,0,1,2,0,0,0,0,0,0,0,0,4,142,1,3,1,9
559,Germán Andrés Conti,Germán Andrés,Conti,,Defender,26,03/06/1994,Santa Fe,Argentina,Argentina,193 cm,80 kg,,7.175,211,Benfica,Primeira Liga,2018-2019,0,2,0,0,0,0,145,0,89,2,4,5,28,21,0,0,1,3,1,0,1,0,0,0,0,0,4,266,2,2,0,7
576,Eduardo Antonio Salvio,Eduardo Antonio,Salvio,,Midfielder,30,13/07/1990,Avellaneda,Argentina,Argentina,172 cm,68 kg,,7.041666,211,Benfica,Primeira Liga,2018-2019,0,35,13,2,0,2,195,13,69,2,1,6,92,39,36,19,13,10,0,0,0,2,0,0,1,0,14,655,7,7,6,12
51599,Cristian Franco Lema,Cristian Franco,Lema,,Defender,30,24/03/1990,Puerto Madryn,Argentina,Argentina,190 cm,81 kg,,6.7,211,Benfica,Primeira Liga,2018-2019,0,2,0,0,0,0,28,0,60,1,0,2,15,9,0,0,1,3,1,1,0,0,0,0,0,0,1,82,1,0,0,0
527,Bruno Miguel Semedo ,Bruno Miguel,Semedo Varela,,Goalkeeper,26,04/11/1994,Lisboa,Portugal,Portugal,191 cm,86 kg,,,211,Benfica,Primeira Liga,2018-2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
574,Filip Krovinović,Filip,Krovinović,,Midfielder,25,29/08/1995,Zagreb,Croatia,Croatia,175 cm,69 kg,,6.55,211,Benfica,Primeira Liga,2018-2019,0,2,0,0,0,0,36,0,94,2,0,0,5,4,0,0,2,0,0,0,0,0,0,0,0,0,4,36,0,4,0,11
565,Yuri Ribeiro,Yuri,Oliveira Ribeiro,,Defender,23,24/01/1997,Vieira do Minho,Portugal,Portugal,180 cm,77 kg,,,211,Benfica,Primeira Liga,2018-2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
